Date,Open,High,Low,Close,Adj Close,Volume
2015-09-21,12.837000,12.938000,12.622000,12.726000,12.726000,16515000
2015-09-22,12.499000,12.584000,12.370000,12.470000,12.470000,22483000
2015-09-23,12.482000,12.780000,12.381000,12.554000,12.554000,21879000
2015-09-24,12.410000,12.535000,11.945000,12.410000,12.410000,44995000
2015-09-25,12.596000,12.893000,12.520000,12.674000,12.674000,35087000
2015-09-28,12.596000,12.817000,12.081000,12.085000,12.085000,39887000
2015-09-29,12.191000,12.248000,11.806000,11.967000,11.967000,47991000
2015-09-30,12.179000,12.523000,12.100000,12.501000,12.501000,43955000
2015-10-01,12.311000,12.490000,11.950000,12.214000,12.214000,45674000
2015-10-02,11.999000,12.336000,11.821000,12.333000,12.333000,35207000
2015-10-05,12.396000,12.487000,12.096000,12.122000,12.122000,39085000
2015-10-06,12.076000,12.101000,11.153000,11.711000,11.711000,115846000
2015-10-07,11.865000,11.954000,11.582000,11.864000,11.864000,37284000
2015-10-08,11.752000,11.796000,11.379000,11.669000,11.669000,41409000
2015-10-09,11.656000,11.808000,11.554000,11.691000,11.691000,34479000
2015-10-12,11.759000,11.798000,11.576000,11.768000,11.768000,24184000
2015-10-13,11.634000,11.667000,11.321000,11.342000,11.342000,32475000
2015-10-14,11.300000,11.776000,11.238000,11.746000,11.746000,33530000
2015-10-15,11.800000,12.199000,11.769000,12.187000,12.187000,49316000
2015-10-16,12.190000,12.198000,11.990000,12.107000,12.107000,19866000
2015-10-19,12.100000,12.126000,11.737000,11.896000,11.896000,18593000
2015-10-20,11.847000,12.007000,11.760000,11.989000,11.989000,21920000
2015-10-21,12.176000,12.268000,12.011000,12.050000,12.050000,28197000
2015-10-22,12.162000,12.562000,12.121000,12.534000,12.534000,34344000
2015-10-23,12.747000,12.984000,12.406000,12.958000,12.958000,35498000
2015-10-26,12.806000,12.806000,12.274000,12.361000,12.361000,58129000
2015-10-27,12.309000,12.515000,12.094000,12.149000,12.149000,32280000
2015-10-28,12.479000,12.785000,12.370000,12.709000,12.709000,30966000
2015-10-29,12.100000,12.416000,11.872000,12.009000,12.009000,61582000
2015-10-30,12.085000,12.402000,12.017000,12.313000,12.313000,25516000
2015-11-02,12.366000,12.521000,12.246000,12.380000,12.380000,26068000
2015-11-03,12.148000,12.495000,12.148000,12.214000,12.214000,26222000
2015-11-04,12.250000,12.486000,12.006000,12.411000,12.411000,43098000
2015-11-05,12.491000,12.500000,12.060000,12.106000,12.106000,28308000
2015-11-06,12.325000,12.979000,12.323000,12.967000,12.967000,45287000
2015-11-09,12.837000,12.894000,12.571000,12.650000,12.650000,28250000
2015-11-10,12.311000,12.408000,11.977000,11.986000,11.986000,44759000
2015-11-11,12.021000,12.270000,11.982000,11.995000,11.995000,25953000
2015-11-12,12.021000,12.141000,11.892000,11.985000,11.985000,26588000
2015-11-13,11.900000,11.989000,11.521000,11.754000,11.754000,39824000
2015-11-16,11.747000,12.177000,11.708000,12.147000,12.147000,27796000
2015-11-17,12.146000,12.368000,12.100000,12.206000,12.206000,19868000
2015-11-18,12.192000,12.610000,12.160000,12.592000,12.592000,20270000
2015-11-19,12.610000,12.613000,12.301000,12.521000,12.521000,32780000
2015-11-20,12.621000,12.667000,12.373000,12.640000,12.640000,28057000
2015-11-23,12.675000,12.675000,12.421000,12.441000,12.441000,16003000
2015-11-24,12.341000,12.859000,12.341000,12.834000,12.834000,35659000
2015-11-25,12.900000,12.917000,12.766000,12.839000,12.839000,21396000
2015-11-27,12.863000,13.045000,12.786000,13.004000,13.004000,13262000
2015-11-30,12.943000,13.070000,12.712000,13.045000,13.045000,32615000
2015-12-01,13.117000,13.377000,13.091000,13.289000,13.289000,43255000
2015-12-02,13.307000,13.500000,13.154000,13.221000,13.221000,54364000
2015-12-03,14.486000,14.686000,14.288000,14.478000,14.478000,120661000
2015-12-04,14.480000,14.789000,14.324000,14.756000,14.756000,60329000
2015-12-07,14.669000,14.972000,14.555000,14.883000,14.883000,44769000
2015-12-08,14.684000,14.859000,14.577000,14.778000,14.778000,34560000
2015-12-09,14.714000,14.800000,14.442000,14.565000,14.565000,30803000
2015-12-10,14.611000,14.944000,14.519000,14.733000,14.733000,33078000
2015-12-11,14.462000,14.772000,14.430000,14.442000,14.442000,27777000
2015-12-14,14.414000,14.536000,14.124000,14.251000,14.251000,36993000
2015-12-15,14.268000,14.423000,14.131000,14.327000,14.327000,35398000
2015-12-16,14.317000,14.428000,14.040000,14.388000,14.388000,29644000
2015-12-17,14.493000,14.550000,14.041000,14.048000,14.048000,24378000
2015-12-18,14.023000,14.191000,13.855000,14.020000,14.020000,51964000
2015-12-21,14.310000,14.600000,14.186000,14.580000,14.580000,26627000
2015-12-22,14.723000,14.723000,14.276000,14.510000,14.510000,21684000
2015-12-23,14.602000,14.666000,14.439000,14.651000,14.651000,16170000
2015-12-24,14.641000,14.729000,14.572000,14.632000,14.632000,7436000
2015-12-28,14.590000,14.640000,14.393000,14.635000,14.635000,13873000
2015-12-29,14.700000,14.878000,14.501000,14.794000,14.794000,22533000
2015-12-30,14.751000,14.889000,14.712000,14.737000,14.737000,17396000
2015-12-31,14.658000,14.750000,14.512000,14.515000,14.515000,19673000
2016-01-04,14.207000,14.235000,13.988000,14.228000,14.228000,30970000
2016-01-05,14.314000,14.330000,13.721000,13.752000,13.752000,38173000
2016-01-06,13.457000,13.606000,13.228000,13.329000,13.329000,50824000
2016-01-07,13.131000,13.377000,12.819000,12.905000,12.905000,50056000
2016-01-08,13.003000,13.346000,12.806000,12.820000,12.820000,64641000
2016-01-11,12.950000,12.997000,12.542000,12.804000,12.804000,38941000
2016-01-12,12.986000,13.167000,12.686000,12.992000,12.992000,41112000
2016-01-13,12.775000,12.998000,12.308000,12.331000,12.331000,48470000
2016-01-14,12.419000,12.668000,12.029000,12.519000,12.519000,63942000
2016-01-15,12.021000,12.379000,11.930000,11.997000,11.997000,75916000
2016-01-19,12.276000,12.480000,11.901000,12.007000,12.007000,54773000
2016-01-20,11.783000,12.558000,11.717000,12.383000,12.383000,103988000
2016-01-21,12.480000,12.600000,12.335000,12.453000,12.453000,48475000
2016-01-22,12.648000,12.648000,12.423000,12.451000,12.451000,58428000
2016-01-25,12.443000,12.498000,12.400000,12.449000,12.449000,61359000
2016-01-26,12.500000,12.651000,12.400000,12.439000,12.439000,119134000
2016-01-27,12.365000,12.541000,12.009000,12.235000,12.235000,58156000
2016-01-28,12.294000,12.655000,12.200000,12.637000,12.637000,49969000
2016-01-29,12.944000,13.434000,12.811000,13.371000,13.371000,259449000
2016-02-01,13.334000,13.869000,13.296000,13.768000,13.768000,45619000
2016-02-02,13.501000,13.759000,13.170000,13.324000,13.324000,59005000
2016-02-03,13.725000,13.761000,13.029000,13.136000,13.136000,56234000
2016-02-04,13.140000,13.727000,13.050000,13.612000,13.612000,60833000
2016-02-05,13.700000,13.700000,12.698000,12.836000,12.836000,70953000
2016-02-08,12.699000,12.699000,11.922000,12.186000,12.186000,91242000
2016-02-09,11.983000,12.572000,11.877000,11.971000,11.971000,63400000
2016-02-10,12.249000,12.367000,11.865000,11.920000,11.920000,45473000
2016-02-11,11.650000,11.764000,11.425000,11.631000,11.631000,66673000
2016-02-12,11.776000,12.233000,11.573000,12.166000,12.166000,39965000
2016-02-16,12.327000,12.679000,12.295000,12.624000,12.624000,38521000
2016-02-17,12.700000,13.082000,12.673000,13.068000,13.068000,32742000
2016-02-18,13.176000,13.199000,12.608000,12.707000,12.707000,39202000
2016-02-19,12.705000,12.879000,12.500000,12.867000,12.867000,31118000
2016-02-22,13.000000,13.243000,12.949000,13.064000,13.064000,24204000
2016-02-23,13.016000,13.050000,12.806000,12.816000,12.816000,22352000
2016-02-24,12.651000,13.125000,12.541000,13.034000,13.034000,25680000
2016-02-25,13.078000,13.249000,12.869000,13.247000,13.247000,25652000
2016-02-26,13.420000,13.497000,13.225000,13.311000,13.311000,27142000
2016-02-29,13.334000,13.792000,13.290000,13.397000,13.397000,35911000
2016-03-01,13.537000,13.864000,13.462000,13.843000,13.843000,44906000
2016-03-02,13.785000,13.824000,13.505000,13.697000,13.697000,43834000
2016-03-03,13.775000,13.885000,13.430000,13.733000,13.733000,59437000
2016-03-04,14.600000,14.786000,14.172000,14.606000,14.606000,72399000
2016-03-07,14.476000,14.623000,14.057000,14.351000,14.351000,41363000
2016-03-08,14.229000,14.282000,13.941000,13.963000,13.963000,33216000
2016-03-09,14.075000,14.253000,14.047000,14.196000,14.196000,31152000
2016-03-10,14.346000,14.580000,14.200000,14.442000,14.442000,54546000
2016-03-11,14.599000,15.002000,14.575000,14.882000,14.882000,55822000
2016-03-14,14.711000,14.919000,14.700000,14.814000,14.814000,28444000
2016-03-15,14.850000,14.998000,14.608000,14.847000,14.847000,30891000
2016-03-16,14.746000,14.927000,14.685000,14.863000,14.863000,34906000
2016-03-17,14.737000,15.172000,14.737000,15.155000,15.155000,44708000
2016-03-18,15.194000,15.300000,15.087000,15.249000,15.249000,70568000
2016-03-21,15.259000,15.300000,15.083000,15.289000,15.289000,28207000
2016-03-22,15.240000,15.561000,15.155000,15.476000,15.476000,33945000
2016-03-23,15.482000,15.532000,15.234000,15.299000,15.299000,27577000
2016-03-24,15.176000,15.329000,15.112000,15.300000,15.300000,25651000
2016-03-28,15.328000,15.350000,15.207000,15.310000,15.310000,17224000
2016-03-29,15.327000,15.493000,15.218000,15.413000,15.413000,26765000
2016-03-30,15.500000,15.728000,15.454000,15.693000,15.693000,26794000
2016-03-31,15.702000,15.737000,15.445000,15.450000,15.450000,24968000
2016-04-01,15.404000,15.792000,15.116000,15.780000,15.780000,25671000
2016-04-04,15.800000,15.833000,15.566000,15.601000,15.601000,17760000
2016-04-05,15.445000,15.705000,15.445000,15.503000,15.503000,56915000
2016-04-06,15.470000,15.777000,15.371000,15.754000,15.754000,28149000
2016-04-07,15.748000,15.795000,15.469000,15.497000,15.497000,22975000
2016-04-08,15.628000,15.690000,15.464000,15.615000,15.615000,18526000
2016-04-11,15.743000,15.780000,15.560000,15.561000,15.561000,18568000
2016-04-12,15.601000,15.637000,15.300000,15.543000,15.543000,16537000
2016-04-13,15.647000,15.965000,15.561000,15.948000,15.948000,21730000
2016-04-14,15.729000,15.911000,15.600000,15.882000,15.882000,27549000
2016-04-15,15.813000,15.834000,15.452000,15.549000,15.549000,27685000
2016-04-18,15.535000,15.640000,15.381000,15.590000,15.590000,15297000
2016-04-19,15.645000,15.677000,15.079000,15.107000,15.107000,24560000
2016-04-20,15.146000,15.410000,15.040000,15.323000,15.323000,19435000
2016-04-21,15.290000,15.328000,15.045000,15.135000,15.135000,16117000
2016-04-22,15.040000,15.294000,14.873000,15.033000,15.033000,25699000
2016-04-25,15.025000,15.086000,14.877000,14.910000,14.910000,10870000
2016-04-26,15.149000,15.411000,15.004000,15.076000,15.076000,26309000
2016-04-27,14.721000,15.336000,14.650000,15.153000,15.153000,38930000
2016-04-28,15.039000,15.402000,14.733000,14.799000,14.799000,25520000
2016-04-29,14.631000,14.779000,14.325000,14.575000,14.575000,35067000
2016-05-02,14.616000,14.683000,14.450000,14.608000,14.608000,19525000
2016-05-03,14.510000,14.599000,14.233000,14.320000,14.320000,23986000
2016-05-04,14.251000,14.442000,14.127000,14.207000,14.207000,20888000
2016-05-05,14.382000,14.490000,14.209000,14.258000,14.258000,16841000
2016-05-06,14.176000,14.250000,13.918000,14.189000,14.189000,30027000
2016-05-09,14.200000,14.392000,14.126000,14.240000,14.240000,17300000
2016-05-10,14.250000,14.514000,14.150000,14.461000,14.461000,18461000
2016-05-11,14.409000,14.622000,14.351000,14.385000,14.385000,16716000
2016-05-12,14.407000,14.473000,13.952000,14.104000,14.104000,26452000
2016-05-13,14.094000,14.313000,13.962000,14.005000,14.005000,21716000
2016-05-16,14.087000,14.362000,14.069000,14.265000,14.265000,20373000
2016-05-17,14.251000,14.299000,13.988000,14.117000,14.117000,21248000
2016-05-18,14.053000,14.505000,14.033000,14.388000,14.388000,22620000
2016-05-19,14.303000,14.466000,14.112000,14.274000,14.274000,17478000
2016-05-20,14.413000,14.767000,14.371000,14.673000,14.673000,25889000
2016-05-23,14.819000,15.034000,14.788000,14.810000,14.810000,17609000
2016-05-24,14.860000,15.168000,14.835000,15.142000,15.142000,19907000
2016-05-25,15.184000,15.400000,15.049000,15.357000,15.357000,21737000
2016-05-26,15.377000,15.425000,15.182000,15.302000,15.302000,18431000
2016-05-27,15.300000,15.393000,15.246000,15.330000,15.330000,18693000
2016-05-31,15.400000,15.495000,15.330000,15.436000,15.436000,32058000
2016-06-01,15.341000,15.532000,15.334000,15.477000,15.477000,30777000
2016-06-02,15.521000,15.552000,15.339000,15.491000,15.491000,46746000
